ITEM_DESCRIPTION	CATEGORY	SUPPLIER
"TONER CARTRIDGE, HP 53A, BLACK"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
HP 57 Tricolor Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"TONER CARTRIDGE, HP 64A, BLACK"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"TONER CARTRIDGE, HP 35A, BLACK"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Fat Free, Pastic, 4/1gl/cs"	Food Beverage and Tobacco Products	Churchfield Trading Co
"Chicken Patty, Breaded (for Halal)"	Food Beverage and Tobacco Products	SILVER FOODS EXPRESS DISTRIBUTION
"Tuna, Pouch Pack, 6/43 oz. Pouches"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"HP Inks, Cleaner, Printheads"	"Office Equipment, Accessories and Supplies"	TonerImaging
299200.0000 Milk Nonfat	Food Beverage and Tobacco Products	3B INDUSTRIES INC
X-Stamper Eco Green N10	"Office Equipment, Accessories and Supplies"	Riverside Rubber Stamp & Engraving
"Cake, gingerbread spice"	Food Beverage and Tobacco Products	US Foodservice
image fuser kits	"Office Equipment, Accessories and Supplies"	Golden State Office Solutions
mixed fruit and vegetables	Food Beverage and Tobacco Products	COAST CITRUS DISTRIBUTORS
Blanket order for miscellaneous food orders	Food Beverage and Tobacco Products	US FOODSERVICE
2nd Qtr/ 11/12 Blanket order for Kosher Food	Food Beverage and Tobacco Products	US FOODSERVICE
Any needed miscellaneous food items needed	Food Beverage and Tobacco Products	US FOODSERVICE
Miscellaneous food order	Food Beverage and Tobacco Products	US FOODSERVICE
SMOKED TURKEY & CHEESE	Food Beverage and Tobacco Products	McGinty Sales Company
Calendars for 2013	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
Turkey diced precooked light and dark	Food Beverage and Tobacco Products	McGinty Sales Company
Cake Mix Chocolate	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
lunch meat and cheese	Food Beverage and Tobacco Products	McGinty Sales Company
Chairs and Binders	"Office Equipment, Accessories and Supplies"	3B INDUSTRIES INC
"Colored Push Pins, Plastic, Clear, 3/8"", 100/Pack"	"Office Equipment, Accessories and Supplies"	SUNRISE STATIONERS
catalog envelopes	"Office Equipment, Accessories and Supplies"	National Office Solutions
DRY SMALL WHITE BEANS	Food Beverage and Tobacco Products	INTERSECT USA
"POTATO , DEHYDRATED INSTANT"	Food Beverage and Tobacco Products	Adolph Inc.
"POTATO, DEHYDRATED SLICED"	Food Beverage and Tobacco Products	Adolph Inc.
"Margarine, 2nd Qtr 11/12"	Food Beverage and Tobacco Products	Adolph Inc.
"POTATOES, VARIETY  FLAKE, SLICED, DICED"	Food Beverage and Tobacco Products	Adolph Inc.
Buttermilk Biscuit Mix	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
Sharp MX-M453N copier	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Copier, accessories, and maintenance agreement."	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Maintenance for FY 12/13	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Corn tortillas / Flour tortillas	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
Fujitsu Cleaning Sheets Boxes	"Office Equipment, Accessories and Supplies"	Granite Data Solutions
"TURKEY BREAST, PRECOOKED, BONELESS, SKINLESS"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"fruit pops,  egg rolls"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"TURKEY, DICED, PRECOOKED, LIGHT & DARK"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"SALAD DRESSING, VARIETY"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"Madison Task Chair, without headrest in black"	Furniture and Furnishings	Department of General Services
"BREAD, HOTDOG, HAMBURGER & HOAGIE"	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
"BREAD, 20%  WHEAT"	Food Beverage and Tobacco Products	Prison Industry Authority
MARINARA SAUCE#10 CAN 6/CS	Food Beverage and Tobacco Products	Golden State Provisions INC.
Workstation Table   Check in/Check Out	Furniture and Furnishings	Prison Industry Authority
OFFICE FURNITURE FOR OIA	Furniture and Furnishings	Prison Industry Authority
"JUICE, ORANGE & APPLE 4 oz."	Food Beverage and Tobacco Products	Prison Industry Authority
Monthly Planner #748097	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"elbow macaroni,small"	Food Beverage and Tobacco Products	SARONI FOOD SERVICE
"PPR, 2-7HL, HD Black"	"Office Equipment, Accessories and Supplies"	MISSION OFFICE PRODUCTS
medium egg noodle	Food Beverage and Tobacco Products	SARONI FOOD SERVICE
"pasta, spaghetti"	Food Beverage and Tobacco Products	SARONI FOOD SERVICE
"Swingline, 9/32"""	"Office Equipment, Accessories and Supplies"	MISSION OFFICE PRODUCTS
Baling wire for paper shredding machines	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
"POTATOES, SLICED, BULK PACK"	Food Beverage and Tobacco Products	Adolph Inc.
OFFICE FURNITURE OIA	Furniture and Furnishings	Prison Industry Authority
"Cabbage, 24 Heads per case"	Food Beverage and Tobacco Products	Coast Tropical
"EGGS, FRESH MEDIUM"	Food Beverage and Tobacco Products	Morning Glory Incorporated
"Cole Slaw Mix, 4/5 Bags Per Case"	Food Beverage and Tobacco Products	Coast Tropical
"Carrot Coins, 200 Individual Bags, 1.6 oz each"	Food Beverage and Tobacco Products	Coast Tropical
"ONIONS, GREEN  DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"brown, white rice"	Food Beverage and Tobacco Products	ABC Ventures LLC
"Spinach, chopped"	Food Beverage and Tobacco Products	"Food Service Systems, Inc."
Laceration tray  Binders	"Office Equipment, Accessories and Supplies"	IONE PHARMACY
Inmate feeding: danish pastries   3rd quar.	Food Beverage and Tobacco Products	Fran San Meat LLC
"CHEESE, IMITATION AMERICAN"	Food Beverage and Tobacco Products	"BACK TO BASICS FOODS, LLC"
"Peanut Butter, Creamy (295300.0010)"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"Maple Flavored Syrup, 2oz. Squeezer (298100.0010)"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Concourse Work Table	Furniture and Furnishings	Prison Industry Authority
Peanut butter squeeze 2 oz	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"FG, Optical Adhesive Covers"	"Office Equipment, Accessories and Supplies"	Life Technologies Corp
"Oatmeal, meal bags, soup"	Food Beverage and Tobacco Products	"Food Service Partners of Calif, LLC"
Samsung SCX-5835FN Multifunction Printer	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
Individual pkg almonds (natural)	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Acroprint Time Recorder	"Office Equipment, Accessories and Supplies"	"Bay Medical Co., Inc"
"3"" expansion folder, 8 section, Dark Blue"	"Office Equipment, Accessories and Supplies"	River City Office Supply
"TORTILLAS 5-1/2"""	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"3"" expansion folder, 8 section, Green"	"Office Equipment, Accessories and Supplies"	River City Office Supply
THIS IS FOR A SHARP MX-4111N COLOR COPIER.	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Leximark X658dfe mono laser MFD	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Battered fish (Pollock)	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"Blanket order for Kosher Food, 4th Qtr"	Food Beverage and Tobacco Products	US FOODSERVICE
Kosher food blanket order	Food Beverage and Tobacco Products	US FOODSERVICE
Blanket order for May 2012 fresh produce order	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Blanket order for fresh produce for January 2012	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Inmate feeding: frozen fish,  3rd quar."	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"waffles, french toast"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
JALEPENO POUTRY & CHEESE	Food Beverage and Tobacco Products	McGinty Sales Company
American sliced cheese/ Shredded Cheddar cheese	Food Beverage and Tobacco Products	Seacat Enterprises
Frozen Dietary Meals	Food Beverage and Tobacco Products	Seacat Enterprises
Cheese crackers / Peanut Butter crackers	Food Beverage and Tobacco Products	Adolph Inc.
TO REPLACE OLD OR BROKEN CHAIRS	Furniture and Furnishings	Prison Industry Authority
"MARGARINE, PRINT"	Food Beverage and Tobacco Products	Adolph Inc.
Brownie/Cake Mix	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
"Margarine, diced tomatoes"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"DRESSING, THOUSAND ISLAND"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"Inmate feeding: turkey bologna, ham   3rd quar."	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Boneless Frozen Turkey Breast	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Cereal Ready-to-Eat	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"Salt, iodized, ind. serving, 3000/cs"	Food Beverage and Tobacco Products	ABC Ventures LLC
HP TONER TO SUPPORT CURRENT PRINTER	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"CLIN #83, Q5942X"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
HP TONER TO SUPPORT CURRENT PRINTERS	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Modular Furniture	Furniture and Furnishings	3B INDUSTRIES INC
HP TONER TO SUPPORT CURRENT PRINTER	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"CLIN# 53, C9730A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"NON-CORE, ITEM# 0386B003AA"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"CLIN#61A, CC530A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"CLIN#100, Q6511X"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Toner Cartridges	"Office Equipment, Accessories and Supplies"	Technology Integration Group
PEANUT BUTTER & JELLY LUNCH 4 SL MEAL	Food Beverage and Tobacco Products	Prison Industry Authority
HP 3600 Blk Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
HP 3600 Cyan Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Color Toner Cartridge, HP 3800 Series, Cyan"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
HP Magenta Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Kosher Complete Breakfast Meals, Boxed"	Food Beverage and Tobacco Products	Elements Food Group
yellow printer cartridge	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"bagle dogs, calzone"	Food Beverage and Tobacco Products	The Spaulding Company
"JUICE, VARIETY APPLE & PINEAPPLE"	Food Beverage and Tobacco Products	"JoeD, Inc"
APPLES / VEGETABLES	Food Beverage and Tobacco Products	General Produce Co
"Sugar, artificial powder,2000/cs"	Food Beverage and Tobacco Products	ABC Ventures LLC
Brother Fax Machine 2840	"Office Equipment, Accessories and Supplies"	"Computer Supplies Unlimited, Inc."
"Zebra Resin Print Ribbon, Black"	"Office Equipment, Accessories and Supplies"	"Ablegov, Inc."
APPLE PEAR JUICE	Food Beverage and Tobacco Products	3B INDUSTRIES INC
small pitted prunes and raisins	Food Beverage and Tobacco Products	Adolph Inc.
Various chairs for meeting room and desk use	Furniture and Furnishings	3B INDUSTRIES INC
"Tomatoes, Diced, Canned"	Food Beverage and Tobacco Products	Highland Wholesale Foods Inc
"EGGS, FRESH MED/LG"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Purple end tab file folder	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"Quick Cooking, 50#/cs"	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
"Quick Cook, 50#/cs"	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
TURKEY BOLOGNA AND CHEESE	Food Beverage and Tobacco Products	McGinty Sales Company
TURKEY AND CHICKEN SALAMI	Food Beverage and Tobacco Products	McGinty Sales Company
"~~PUSHPIN,PLAS,100,ASTD GEM"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
Halal food order 1st quarter	Food Beverage and Tobacco Products	US FOODSERVICE
"DRY CEREAL, CORN FLAKES AND RICE KRISPIES"	Food Beverage and Tobacco Products	Adolph Inc.
Maintenance for FY 12/13	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"RTS, Canned, 6/#10/cs"	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
"Bulk Pack, 4/35oz/cs"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Mx-FNX9 - 50-Sheet Inner Stapler/Finisher	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
MX-FNX9 - 50-Sheet Inner Stapler/Finisher	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
IC Treats 72 3 oz per case	Food Beverage and Tobacco Products	Golden State Provisions INC.
Maintenance FY12/13	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
FY 12/13 maintenance	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
fresh produce week 29 and 30	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
"BEVERAGE BASE, SUGAR FREE"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"hamberger, hot dog buns"	Food Beverage and Tobacco Products	Earthgrains/Sara Lee
various box lunches	Food Beverage and Tobacco Products	McGinty Sales Company
BLANKET FOR CHICKEN BREAST	Food Beverage and Tobacco Products	Prison Industry Authority
"apple sauce, fruit cocktail"	Food Beverage and Tobacco Products	Churchfield Trading Co
Toner for Samsung Color Printer	"Office Equipment, Accessories and Supplies"	MMG Technology Group Inc
"Copy Holder, In-Line Doc"	"Office Equipment, Accessories and Supplies"	MMG Technology Group Inc
French Toast Batter	Food Beverage and Tobacco Products	"Hi-West Foods, Inc."
Cheese crackers / Graham crackers	Food Beverage and Tobacco Products	ABC Ventures LLC
Bulk Fire Meals - Dinners	Food Beverage and Tobacco Products	CA State Military Department
CHILD SAFETY SEAT	Furniture and Furnishings	"Horizon Safety Distributing, LLC"
"roast beef, pre-cook"	Food Beverage and Tobacco Products	CocoBlue
CUSTOM WINDOW ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
Brother Intellifax 4750e	"Office Equipment, Accessories and Supplies"	"Statestore, Inc"
Brother M8220 multifunction printer	"Office Equipment, Accessories and Supplies"	Angus Hamer Networking
MX-FNX9 - 50-Sheet Inner Stapler/Finisher	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"MARGARINE SPREAD, READIES"	Food Beverage and Tobacco Products	Adolph Inc.
"Type II, 6/#10/cs"	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
"Unsweetened, 70/4oz/cs"	Food Beverage and Tobacco Products	Seacat Enterprises
"Manhattan Mid Back Chair, Fabric: Crimson"	Furniture and Furnishings	Prison Industry Authority
6 foot folding table	Furniture and Furnishings	River City Office Supply
"Jelly Beans, 1 oz, 200/cs, Item 7"	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
"Banana Chip, 1 oz, 200/cs, Item 6"	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
Cereal Toasted Oat	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Cereal Bran Flakes	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
fastener folders	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
Printer Transfer Kit	"Office Equipment, Accessories and Supplies"	Granite Data Solutions
"Hoagie Rolls, Sliced, French style"	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
Toner Cartridges	"Office Equipment, Accessories and Supplies"	TonerImaging
ground beef lean patty	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"Food Stuff, 2012/2013 School Year, Reimbursable"	Food Beverage and Tobacco Products	US FOODSERVICE
Blanket Purch Order-Misc       Food Items	Food Beverage and Tobacco Products	US FOODSERVICE
misc. food items.	Food Beverage and Tobacco Products	US FOODSERVICE
MX-M453N Sharp Digital Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
50-Sheet Inner Stapler/Finisher	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Right Side Exit Tray (for       incoming faxes)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
2nd qtr food order	Food Beverage and Tobacco Products	"rdk distributing co., llc"
"Surge Protector (120V, 15AMP)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
TO REPLACE OLD OR BROKEN CHAIRS	Furniture and Furnishings	Prison Industry Authority
"Eight Foot Picnic Tables 3""  ADA"	Furniture and Furnishings	sonoma county probation camp
Q7582A - Yellow Toner Cartridge	"Office Equipment, Accessories and Supplies"	Midtown Stationers
Bread/Texas toast/sliced/24oz/13sl/lv	Food Beverage and Tobacco Products	Earthgrains/Sara Lee
dark blue pocket folders # 698878	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"pasta rotelle, elbow macaroni"	Food Beverage and Tobacco Products	SARONI FOOD SERVICE
C9732A - Yellow Toner Cartridge	"Office Equipment, Accessories and Supplies"	Midtown Stationers
C9733A - Magenta Toner Cartridge	"Office Equipment, Accessories and Supplies"	Midtown Stationers
Q6470A - Black Toner Cartridge	"Office Equipment, Accessories and Supplies"	Midtown Stationers
Q5950A - Black Toner Cartridge	"Office Equipment, Accessories and Supplies"	Midtown Stationers
"C3909A - HP 09A, Black Toner Cartridge"	"Office Equipment, Accessories and Supplies"	Midtown Stationers
eggs fresh med/lrg 15 dz per case	Food Beverage and Tobacco Products	Prison Industry Authority
sauce enchilada canned	Food Beverage and Tobacco Products	Prison Industry Authority
HP Printer Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
HP 64A black printer toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
HP 85A printer toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
office task chair	Furniture and Furnishings	Prison Industry Authority
JUICE IND APPLE/PEAR 4 OZ CONTAINER	Food Beverage and Tobacco Products	Prison Industry Authority
"POCKET,FLE,LTR,3.5""AST5PK"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Basyx #BSX-VL-701ST11, Black Mesh Chair"	Furniture and Furnishings	"CALIFORNIA OFFICE FURNITURE, INC."
Copier maintenance service	"Office Equipment, Accessories and Supplies"	"ADVANCED COPY SYSTEMS, INC."
Frozen Vegetables	Food Beverage and Tobacco Products	Food Service Systems Inc
calzone bbq sauce	Food Beverage and Tobacco Products	The Spaulding Company
KOSHER COMPLETE BOXED BREAKFAST MEALS	Food Beverage and Tobacco Products	Elements Food Group
"KOSHER, COMPLETE BOXED DINNER MEALS"	Food Beverage and Tobacco Products	Elements Food Group
Hydration supplies used for going fire	Food Beverage and Tobacco Products	Fastenal Company
CFS Custom Window #10 Envelopes	"Office Equipment, Accessories and Supplies"	STAY SAFE SUPPLY
"Color Toner Cartridge, HP 3800 Series, Yellow"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
AR-PK1N - Post Script Expansion Kit	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
MX-NSX1 - Network Scanner Expansion Kit	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
Memory 256D - 256 Memory Expansion DIMM	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
AR-FR24U - Data Security Kit	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
AR-P27 - Network Print Controller	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
Whole Loaf Bread	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Sauce Salsa Mild	Food Beverage and Tobacco Products	Highland Wholesale Foods Inc
Office Furniture	Furniture and Furnishings	3B INDUSTRIES INC
"Pollock, 4 oz portion, 10 lb/cs"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
3RD QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
MISC FOOD (POTATOES)	Food Beverage and Tobacco Products	US FOODSERVICE
Oat Rolled. Quick Cooking	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
frozen dietary meals	Food Beverage and Tobacco Products	Seacat Enterprises
"beef, chicken, fresh bread, pasta, rice, potatoes"	Food Beverage and Tobacco Products	US FOODSERVICE
Custom self inking Stamps Red ink	"Office Equipment, Accessories and Supplies"	Value Business Products
"Xstamper one color title stamp ""RUSH"", Red Ink"	"Office Equipment, Accessories and Supplies"	Value Business Products
Frozen Dietary Entrees	Food Beverage and Tobacco Products	ABC Ventures LLC
"lunch meat- salami, turkey, bologna"	Food Beverage and Tobacco Products	McGinty Sales Company
Heavy duty stapler	"Office Equipment, Accessories and Supplies"	Cole Office Products
"Surge Protector (120V, 15AMP)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Muratek toner, Mur Tnr 15K Yld  #TS560"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
Digital Black & White Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Post Script Expansion Kit	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
50-Sheet Inner Stapler/Finisher	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Digital Black & White Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Surge Protector (120V, 15AMP)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"AR-D5133NT - Surge Protector (120V, 150AMP)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
digital copier/scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Five Year Maintenance, 60 Months (35% taxable)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Toner cartridges, various models"	"Office Equipment, Accessories and Supplies"	Modern Data Products
3rd qtr food order	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
3rd qtr food services	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"applesauce, peaches, pears, olives"	Food Beverage and Tobacco Products	Golden State Provisions INC.
3RD QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Prison Industry Authority
B ulletin boards	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
1/8 cut tabs white	"Office Equipment, Accessories and Supplies"	SUPPLY NETWORK
3RD QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Prison Industry Authority
"HP 42X black toner cartridge, dual pack"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
CRAN APPLE JUICE	Food Beverage and Tobacco Products	3B INDUSTRIES INC
All in One Printer	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
"beds, mattresses and recliners for fire station"	Furniture and Furnishings	Zaengles Carpet One Floor and Home
3rd  qtr food order	Food Beverage and Tobacco Products	Food Service Systems Inc
3rd qtr food order	Food Beverage and Tobacco Products	Food Service Systems Inc
3rd qtr food order	Food Beverage and Tobacco Products	Food Service Systems Inc
3rd qtr food order	Food Beverage and Tobacco Products	Food Service Systems Inc
3rd qtr food order	Food Beverage and Tobacco Products	Food Service Systems Inc
3rd qtr food order	Food Beverage and Tobacco Products	Food Service Systems Inc
SERVICE ORDER: Service for postage meter.	"Office Equipment, Accessories and Supplies"	NEOPOST USA
"Low Fat Milk, 1%  1/2 pint Container"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"Yellow Drum, 30,000 Yield"	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
"Magenta Toner, 15,000 Page Yield"	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
MX-PB11 - Printer Expansion Kit with Hard Drive	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
MX-NSX1 - Network Scanner Kit	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
AR-FX8P1 - Fax Expansion Kit	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
MX-FR23U - Data Security Kit	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
Low Fat Milk 1% Bulkm 3 Gallon containers	Food Beverage and Tobacco Products	3B INDUSTRIES INC
File Folders-Custom	"Office Equipment, Accessories and Supplies"	"Action Computer & Toner Supply, Inc."
Right Side Exit Tray (for       incoming faxes)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Calculator Portable Solar/Battery	"Office Equipment, Accessories and Supplies"	Grainger Industrial Supply
POTATOES DEHYDRATED	Food Beverage and Tobacco Products	Adolph Inc.
"Swingline Stapler, Desk"	"Office Equipment, Accessories and Supplies"	O'LEARY'S OFFICE PRODUCTS
"Bostich Staples, B8 Powercrown"	"Office Equipment, Accessories and Supplies"	O'LEARY'S OFFICE PRODUCTS
Cake Mix Brownie	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
Digital Black & White Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Surge Protector (120V, 15AMP)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
50-Sheet Inner Stapler/Finisher	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Post Script Expansion Kit	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"mattresses, cotton core, vinyl"	Furniture and Furnishings	Prison Industry Authority
various dry bakery mixes	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
Sharp Multifunction Copier  MX-M453N	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Thousand Island Dressing	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"ONIONS, RED   DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
CHR TSK MADISON W/O HEADREST BLACK	Furniture and Furnishings	Department of General Services
CUSTOME WINDOW ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
Fy 12/13 Maintenance	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Brother Toner  TN 460	"Office Equipment, Accessories and Supplies"	"TAGG Industries, Inc."
beef paties veg protein 24#	Food Beverage and Tobacco Products	Prison Industry Authority
chicken/beef franks	Food Beverage and Tobacco Products	Prison Industry Authority
Folders   Appointment Book   Portfolio	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
OEM for KM-F1060	"Office Equipment, Accessories and Supplies"	DILTEX INC
"tape, pen, markers, folders staples"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
TONER CARTRIDGES	"Office Equipment, Accessories and Supplies"	Technology Integration Group
FOR CP3525/3530 MP	"Office Equipment, Accessories and Supplies"	Technology Integration Group
HP Magenta Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
3RD QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Prison Industry Authority
corned beef hash	Food Beverage and Tobacco Products	ABC Ventures LLC
chili con carne with beans	Food Beverage and Tobacco Products	ABC Ventures LLC
retractable pens	"Office Equipment, Accessories and Supplies"	"Treible Stationers, Inc."
business card pages	"Office Equipment, Accessories and Supplies"	"Treible Stationers, Inc."
Samsung Toner Cartridge #MLT-D307L	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
TE1000-PK Tampalert       (only)9x12Secure env	"Office Equipment, Accessories and Supplies"	IBHP INCORPORATED
traditional smooth refried beans	Food Beverage and Tobacco Products	KD Foods
