ITEM_DESCRIPTION	CATEGORY	SUPPLIER
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
Inmate feeding: honey buns   12/13	Food Beverage and Tobacco Products	Fran San Meat LLC
"Milk, 1/2pint, non-fat"	Food Beverage and Tobacco Products	Prison Industry Authority
"ONIONS, GREEN DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"ONIONS, RED DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
String Cheese Fruit Mix Milk	Food Beverage and Tobacco Products	US FOODSERVICE
"Chair, Manhattan Mid Back Lite, Midnight"	Furniture and Furnishings	Prison Industry Authority
Laminating Pouches	"Office Equipment, Accessories and Supplies"	National Office Solutions
ice for Sites Complex  CALNU 005038	Food Beverage and Tobacco Products	North State Ice
CRAYOLA STANDARD GRAYON SET 24/PK	"Office Equipment, Accessories and Supplies"	SLM Contract Furniture
dry erase marker board	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"MOISTENER, FINGERTIP, 1 OZ S819"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"OPENER, LETTER, 3/PK, WHT U821"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"PEN, ROLLBALL, PRECISE, BE, PS942"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
STANDARD ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
"PEN, BALLPT, GRIP, MED, RD S930"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"PEN, BALLPT, GRIP, MED, BE S930"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"HIGHLIGHTER, MAJOR ACCENT, S959"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
Week #3/ 1st Qtr fresh produce order	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"ENVELOPE, CAT,28#, 10X13, KFS569"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"INK, REFILL, 20OZ., F/STAMPS S1160"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"STAPLER, ELECT, BKSR"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"CLIP, BINDER, LARGE U658"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"CLIP, BINDER, SMALL U658"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"CLIP, BINDER, MEDIUM U658"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"LANYARD, HOOK 24 PK U304"	"Sports, Recreational Equipment and Supplies and Accessories"	"EXPRESS Office Products, Inc."
"RIBBON.F/CM,,310 BK/RD.BK11464"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
Five (5) Years fo Full Copier Service Maintenance	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Cereal, toasted oat rings"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"AR-D5133NT Surge Protector (120V, 15AMP)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Installation (Non-taxable)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
MX-TRX2 Right Side Exit Tray (For Incoming Faxes)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"LETTUCE, SHREDDED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Rolls, Hoagie 6pk"	Food Beverage and Tobacco Products	Seacat Enterprises
"Ice Cream Cups, Asst Flavors 3oz"	Food Beverage and Tobacco Products	MENDOZA DISTRIBUTING
"Sherbert Cups, Asst Flavors 3oz"	Food Beverage and Tobacco Products	MENDOZA DISTRIBUTING
Mixed Vegetables	Food Beverage and Tobacco Products	Food Service Systems Inc
"Bread, Wheat, Thin Sliced, Loaves"	Food Beverage and Tobacco Products	Seacat Enterprises
"Hot Dog Buns, 12pk"	Food Beverage and Tobacco Products	Seacat Enterprises
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	ABC Ventures LLC
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	ABC Ventures LLC
SMALL WHITE BEAN	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
Danish-Apple & Lemon	Food Beverage and Tobacco Products	"Ventura Valley Foods, Inc."
"Beverage Base, Sugar Free"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Week 4/ 1st Qtr produce order	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"beef, chicken, halal"	Food Beverage and Tobacco Products	US FOODSERVICE
2pk Cho Ch cook 2Pk Oat Ml cook 2Pk Snicker cook	Food Beverage and Tobacco Products	Prison Industry Authority
black ink cartridge #772-2	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
burroughs encoder supplies	"Office Equipment, Accessories and Supplies"	Burroughs Payment Systems Inc
"BLAC BINDING COMBS;  Size: 7/8""."	"Office Equipment, Accessories and Supplies"	"InaBind Systems, Inc."
ITEM#: R03 - Wall Clock with Medallion.	"Sports, Recreational Equipment and Supplies and Accessories"	Frank T. Marchello
"BLACK COMBS; Size: 7/2""."	"Office Equipment, Accessories and Supplies"	"InaBind Systems, Inc."
"Jumbo Laminating Pouches, 5mil. (500/bx)"	"Office Equipment, Accessories and Supplies"	Golden State Office Solutions
"Executive Desk-72Wx36D-L/H, Cherry Finish"	Furniture and Furnishings	Prison Industry Authority
"Potaoes, Hash Brown, Frozen, 30#/cs."	Food Beverage and Tobacco Products	French Fry Xpress
"Potatoes Reds, 50/cs"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
FLEXIBLE SAFTEY BALL POINT PEN	"Office Equipment, Accessories and Supplies"	Manley Laboratories
Rental of Postage Meters	"Office Equipment, Accessories and Supplies"	Pitney Bowes
Business card Holder	"Office Equipment, Accessories and Supplies"	"Treible Stationers, Inc."
"Bankers Box, kraft/green, 12/carton, FEL 12770"	"Office Equipment, Accessories and Supplies"	National Office Solutions
4-Pk Wheat Bread 84/Rk	Food Beverage and Tobacco Products	Prison Industry Authority
Copier and Maintenance for 2 eyars	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
DM100 (P700) POSTAGE METER RENTAL	"Office Equipment, Accessories and Supplies"	Pitney Bowes
misc. food and produce	Food Beverage and Tobacco Products	US FOODSERVICE
"Potatoes, FF, Frozen, 30#/cs"	Food Beverage and Tobacco Products	French Fry Xpress
misc. food and produce	Food Beverage and Tobacco Products	US FOODSERVICE
jalapeno peppers 10lb/cs	Food Beverage and Tobacco Products	Sysco
HONHMBFLIP30L- Flip Top Base	Furniture and Furnishings	River City Office Supply
HP 940 XL Magenta	"Office Equipment, Accessories and Supplies"	Eco-Depo LLC
Tuna pouch indv Tuna pouch indv	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
HP 940 XL Printerheads yellow-black	"Office Equipment, Accessories and Supplies"	Eco-Depo LLC
"Lateral File Cabinet-2 Drawer, Cherry Finish"	Furniture and Furnishings	Prison Industry Authority
Articulating Keyboard Support	Furniture and Furnishings	Prison Industry Authority
HP 88 XL printed head Magenda-Cyan	"Office Equipment, Accessories and Supplies"	Eco-Depo LLC
hp laser jet 4250 q5942a	"Office Equipment, Accessories and Supplies"	TiG
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Highland Wholesale Foods Inc
hp laser jet p4015 cc364a	"Office Equipment, Accessories and Supplies"	TiG
hp laser jet p3005	"Office Equipment, Accessories and Supplies"	TiG
"Shell Eggs, 15dz/cs"	Food Beverage and Tobacco Products	Prison Industry Authority
Potato Triangular Potato Wedges	Food Beverage and Tobacco Products	French Fry Xpress
TABLE AND CHAIR RENTAL FOR GOING FIRE	Furniture and Furnishings	Abel Fire Equipment
Scan Optics scanner supplies	"Office Equipment, Accessories and Supplies"	Scan Optics
awards for 6 employees	"Sports, Recreational Equipment and Supplies and Accessories"	Frank T. Marchello
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Highland Wholesale Foods Inc
Week #5/ 1st Qtr fresh produce order	Food Beverage and Tobacco Products	"Superior Produce, Inc."
P.B Sqeezers Jelly mixed	Food Beverage and Tobacco Products	Prison Industry Authority
Cheese Imitation	Food Beverage and Tobacco Products	Seacat Enterprises
Open Office Panel System	Furniture and Furnishings	Allsteel Inc
"GREEN BELL PEPPERS, DICE/SLICED"	Food Beverage and Tobacco Products	Food Service Systems Inc
B&W Copies @ 100 per mo-Serial #76000901	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"40,000 B&W copies @1.0096-Serial #15114556"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"2,000 Color Copies-@0.0566-Serial #1000276Q"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"40,000 B&W Copies @0.0096-Serial #10000206J"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"2,000 Color Copies @0.0566-Serial #10000206J"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
for electronic time/date stamp/ document clock	"Office Equipment, Accessories and Supplies"	APOLLO TIME CLOCKS
Fresh and processed produce	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
"Milk, non-fat, 1/2 pint"	Food Beverage and Tobacco Products	Prison Industry Authority
Remanufacturered Toner	"Office Equipment, Accessories and Supplies"	Midtown Stationers
Misc. food order	Food Beverage and Tobacco Products	US FOODSERVICE
Pocket Folders - White	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
Copier maintenance for FY 2011/12	"Office Equipment, Accessories and Supplies"	Ricoh Business Systems
PRMHMQ5421A  Prem. Brand LJ 4250 Main. K	"Office Equipment, Accessories and Supplies"	The Very Last Word
Ricoh Aficio MP 6001SP Mainframe copier	"Office Equipment, Accessories and Supplies"	Ricoh Business Systems
#10 Windoe Envelope	"Office Equipment, Accessories and Supplies"	Department of General Services
MKIT3000 OEM HP Color LJ 3000 Main. Kit	"Office Equipment, Accessories and Supplies"	The Very Last Word
Certification Mount and Certificate	"Sports, Recreational Equipment and Supplies and Accessories"	Frank T. Marchello
Freestanding Furniture	Furniture and Furnishings	Prison Industry Authority
Lunches for going fire	Food Beverage and Tobacco Products	BLAGGS FOOD SERVICE INC
"Beef Stew, Canned, 6/#10 cans per case"	Food Beverage and Tobacco Products	ABC Ventures LLC
"Three Bean Salad, 6/#10 cans per case"	Food Beverage and Tobacco Products	ABC Ventures LLC
"Refried Beans,Canned, 6/#10 cans per case"	Food Beverage and Tobacco Products	ABC Ventures LLC
"Garbanzo Bean,Canned,6/#10 cans per case"	Food Beverage and Tobacco Products	ABC Ventures LLC
hot dogs chicken/beef blend	Food Beverage and Tobacco Products	Prison Industry Authority
Hanging File Tabs	"Office Equipment, Accessories and Supplies"	National Office Solutions
HASH CORNED BEEF	Food Beverage and Tobacco Products	ABC Ventures LLC
Fresh and processed produce	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
CUSTOM BOOKLET WINDOW ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
"Frozen Waffles, pancakes, french toast"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
clip binder 1 1/4 med	"Office Equipment, Accessories and Supplies"	Cole Office Products
clip binder 3/4 small	"Office Equipment, Accessories and Supplies"	Cole Office Products
ribbon brothers em 530	"Office Equipment, Accessories and Supplies"	Cole Office Products
"Raisin Bread, Sliced, Loaves"	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
"Dinner olls, Wheat, 12 Per Pack"	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
"Hamburger Buns, White, 12 Per Pack"	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
folder manilla letter 1/3 cut	"Office Equipment, Accessories and Supplies"	Cole Office Products
"Tukey Salami, 2/5-6lb pkg/ case"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"Chair, Manhattan Mid Back Lite, Royal"	Furniture and Furnishings	Prison Industry Authority
permanent markers	"Office Equipment, Accessories and Supplies"	National Office Solutions
pressboard folders	"Office Equipment, Accessories and Supplies"	National Office Solutions
jelly apple squeezers 1oz 200/case	Food Beverage and Tobacco Products	Prison Industry Authority
jelly grape squeezers 1oz 200/case	Food Beverage and Tobacco Products	Prison Industry Authority
jelly mixed fruit squeezers 1oz 200/case	Food Beverage and Tobacco Products	Prison Industry Authority
Self-Inking Date Stamp	"Office Equipment, Accessories and Supplies"	National Office Solutions
Bas Camp food for fire assigned staff	Food Beverage and Tobacco Products	US FOODSERVICE/LOS ANGELES
marker dry erase color set	"Office Equipment, Accessories and Supplies"	Cole Office Products
pen ball point fine black	"Office Equipment, Accessories and Supplies"	Cole Office Products
printwheel swingtec courier 12 pitch	"Office Equipment, Accessories and Supplies"	Cole Office Products
correction liftoff tape brother/swingtec	"Office Equipment, Accessories and Supplies"	Cole Office Products
paper clip dispensor	"Office Equipment, Accessories and Supplies"	Cole Office Products
"staples 1/2"" heavy duty"	"Office Equipment, Accessories and Supplies"	Cole Office Products
pencil golf #2 lead	"Office Equipment, Accessories and Supplies"	Cole Office Products
correction film refill one line	"Office Equipment, Accessories and Supplies"	Cole Office Products
printer cartridge black brother	"Office Equipment, Accessories and Supplies"	Cole Office Products
file pocket expanding	"Office Equipment, Accessories and Supplies"	Cole Office Products
"Tomatoes, crushed"	Food Beverage and Tobacco Products	We Deal Corporation
Globe-Weis agate care file-1000 card	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
PULLED BBQ CHICKEN	Food Beverage and Tobacco Products	KD Foods
toner collector and telephone stand	Furniture and Furnishings	Pacific Copier & Computer
Foodstuffs for Tahoe Center-June/July	Food Beverage and Tobacco Products	US FOODSERVICE
Twin extra long Lockart pillow top mattress	Furniture and Furnishings	Moore's Sleepworld
Photocopier Maintenance	"Office Equipment, Accessories and Supplies"	"Ricoh USA, Inc."
"CYAN, YELLOW, MAGENTA"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
classification folders	"Office Equipment, Accessories and Supplies"	National Office Solutions
"tri taters, frz potatoes"	Food Beverage and Tobacco Products	French Fry Xpress
foodstuffs for Tahoe center	Food Beverage and Tobacco Products	US FOODSERVICE
pencil sharpener	"Office Equipment, Accessories and Supplies"	National Office Solutions
Brother Intellifax 4100E Fax Machine	"Office Equipment, Accessories and Supplies"	National Office Solutions
"Lettuce Shredded, 20#/cs"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"box lunches, turkey, salami, chicken"	Food Beverage and Tobacco Products	McGinty Sales Company
STANDARD ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
Food Items for Project 12-1575	Food Beverage and Tobacco Products	S & L MEAT SALES CO INC
Fascimilie Expansion Kit	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
5 Year Maintenance Cost	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Juice - cranberry, pineapple, orange, grape"	Food Beverage and Tobacco Products	US FOODSERVICE
"Beef, Salisbury patty"	Food Beverage and Tobacco Products	Prison Industry Authority
"Hash, corned beef"	Food Beverage and Tobacco Products	ABC Ventures LLC
assorted danish and muffins	Food Beverage and Tobacco Products	Clipper Commodities Inc.
"Lettuce Chopped w/color, 20#/cs"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
fresh non-fat milk	Food Beverage and Tobacco Products	WAYNE BOLMAN DISTRIBUTING
"Photocopier, Savin MP6002"	"Office Equipment, Accessories and Supplies"	DESERT BUSINESS MACHINES INC
"BINDERS, LEGAL, 1 AND 2 INCH"	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"Manila Folder, 1/3 Cut, 100/Box"	"Office Equipment, Accessories and Supplies"	O'LEARY'S OFFICE PRODUCTS
"Punch, 2-Hole, Electric"	"Office Equipment, Accessories and Supplies"	O'LEARY'S OFFICE PRODUCTS
"G6 Pilot Pens, Retractable, Rolling Ball, Red"	"Office Equipment, Accessories and Supplies"	O'LEARY'S OFFICE PRODUCTS
Various flavored individual beverage packets	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"Sharp copiers, stapler, 2x500 sheet drawers/stand"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
table refemeca oak 34x60	Furniture and Furnishings	Prison Industry Authority
"HEW PK CRTRG,C8766WN, HP95 2 PK, TIC"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"HEW EA CRTRDG, CLJ CP4005SRS, YW"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"HEW EA CRTRDG, CLJ CP4005SRS, CYN"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
Food Items for Project 12-1576	Food Beverage and Tobacco Products	S & L MEAT SALES CO INC
"Jelly, apple grape"	Food Beverage and Tobacco Products	Prison Industry Authority
eraser mechanical pencil lead	"Office Equipment, Accessories and Supplies"	National Office Solutions
reinforced end tab folders	"Office Equipment, Accessories and Supplies"	National Office Solutions
Meter Rental for Digital Mail Machine DM 800	"Office Equipment, Accessories and Supplies"	"Pitney Bowes, Inc"
Max security flexible pen	"Office Equipment, Accessories and Supplies"	ABLE Industries
Heavy Duty Stapler	"Office Equipment, Accessories and Supplies"	SUNRISE STATIONERS
week 10 9/4 & 9/7	Food Beverage and Tobacco Products	"rdk distributing co., llc"
"Onion Red, sliced, 5# bag"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Non fat milk 1/2 pint; Non fat milk bulk 6 gal	Food Beverage and Tobacco Products	Prison Industry Authority
"Tomatoes, cherry / grape"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
VARIOUS FLAVORS BOX LUNCH	Food Beverage and Tobacco Products	McGinty Sales Company
"MESSAGE STAMP-""COPY"", RED"	"Office Equipment, Accessories and Supplies"	National Office Solutions
"Onion, yellow dry, 50# bag"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Sack Lunches for fire fighters	Food Beverage and Tobacco Products	MILITARY & SHIP SUPPLY HOUSE
pinto beans 6 #10 cans (no-pork)	Food Beverage and Tobacco Products	ABC Ventures LLC
"milk, 1/2 pint non fat"	Food Beverage and Tobacco Products	Prison Industry Authority
Crystal Vase With Base	"Sports, Recreational Equipment and Supplies and Accessories"	Frank T. Marchello
REFRIED DEHYDRATED PINTO BEANS	Food Beverage and Tobacco Products	"Inland Empire Foods, Inc."
worcestershire  sauce	Food Beverage and Tobacco Products	Churchfield Trading Co
Cornstarch type 1	Food Beverage and Tobacco Products	Churchfield Trading Co
"CRACKERS, CHEESE 93 OZ PACK"	Food Beverage and Tobacco Products	ABC Ventures LLC
"CRACKERS, PEANUT BUTTER 93 OZ PACK"	Food Beverage and Tobacco Products	ABC Ventures LLC
"CRACKERS, GRAHAM INDIVIDUAL SERVINGS"	Food Beverage and Tobacco Products	ABC Ventures LLC
BOOKLET ENVELOPE	Food Beverage and Tobacco Products	Response Envelope
"Fresh Eggs, Med/Large"	Food Beverage and Tobacco Products	Prison Industry Authority
"Ink Cartridge, HP 950XL, Black, High Yield"	"Office Equipment, Accessories and Supplies"	Granite Data Solutions
"Chair, San Fernando Sled Base Arm, Royal, Oak"	Furniture and Furnishings	Prison Industry Authority
Poultry Jalapeno: Code 167	Food Beverage and Tobacco Products	McGinty Sales Company
Printer Toner CB402A	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Printer Toner CE278A	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Chair, Sled Base Side, no arms, Royal, Oak"	Furniture and Furnishings	Prison Industry Authority
Custom Name Stamp	"Office Equipment, Accessories and Supplies"	Cole Office Products
"Chair, Manhattan mid-back Lite, Tex Black"	Furniture and Furnishings	3B INDUSTRIES INC
tortilla chips bulk 6 1lb bags per case	Food Beverage and Tobacco Products	Adolph Inc.
chips plain potato ind 104 per case	Food Beverage and Tobacco Products	Adolph Inc.
"Wheat Biscuit,ind. box"	Food Beverage and Tobacco Products	Adolph Inc.
Lunches for going fire	Food Beverage and Tobacco Products	BLAGGS FOOD SERVICE INC
"Samsung Black Ink Cartridge, 10,000 Pages Yield"	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
"Cheese, parmesean"	Food Beverage and Tobacco Products	Seacat Enterprises
Pineapple Tidbits	Food Beverage and Tobacco Products	Churchfield Trading Co
Chicken Cubes and Hind Quarters	Food Beverage and Tobacco Products	Prison Industry Authority
EMERGENCY SHELTER IN BASE CAMP ON GOING FIRE	"Sports, Recreational Equipment and Supplies and Accessories"	"A&H Rents, Inc."
"Storage Box, Letter, Legal, White, 12/Carton"	"Office Equipment, Accessories and Supplies"	National Office Solutions
expansion pockets	"Office Equipment, Accessories and Supplies"	National Office Solutions
Back Support Cushion	"Office Equipment, Accessories and Supplies"	National Office Solutions
"COVER,DOCUMENT,LINEN,BY  S666"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"COVER,DOCUMENT,LINEN,BK  S666"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
bagel dogs & calzones	Food Beverage and Tobacco Products	The Spaulding Company
"tables, beds, stools"	Furniture and Furnishings	Prison Industry Authority
"Prunes,pitted,small"	Food Beverage and Tobacco Products	Adolph Inc.
"FILE, LAT, BLK 4DRW, 36"" WD"	Furniture and Furnishings	"Treible Stationers, Inc."
toasted oat rings/ind. bowl	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
expansion file folders	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
Set-In-Place fees	Furniture and Furnishings	Prison Industry Authority
various fresh produce	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Hotel rooms on going fire	Food Beverage and Tobacco Products	Discovery Inn
"Enchiladas, chicken frozen"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
Lunches for going fire	Food Beverage and Tobacco Products	BLAGGS FOOD SERVICE INC
cookie oatmeal 300-2pc/cs	Food Beverage and Tobacco Products	Prison Industry Authority
"Coffee, Decaffeinated (Mule Creek Blend)"	Food Beverage and Tobacco Products	Prison Industry Authority
Printer Cartridges	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Wash Station used on ""Going fire"""	Furniture and Furnishings	"Action Sanitary,Inc."
kosher breakfast meals	Food Beverage and Tobacco Products	Elements Food Group
"HP Remanufactured Toner, #CC364X"	"Office Equipment, Accessories and Supplies"	Prison Industry Authority
TONER CARTRIDGE HP 1606 #CE278A	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"POTATOES diced,flake,sliced"	Food Beverage and Tobacco Products	Adolph Inc.
0106B002 Exchange Roller Kit	"Office Equipment, Accessories and Supplies"	The Very Last Word
Specialty Lounge Chair	Furniture and Furnishings	Tangram Interiors
"Masters, Riso S-4250"	"Office Equipment, Accessories and Supplies"	Pacific Copier & Computer
File Folders Letter Size	"Office Equipment, Accessories and Supplies"	National Office Solutions
Universal Red Folders	"Office Equipment, Accessories and Supplies"	"COAST STATIONERY CO., INC."
Printer Maintenance Kit for P2015	"Office Equipment, Accessories and Supplies"	The Very Last Word
Pencil Sharpener	"Office Equipment, Accessories and Supplies"	National Office Solutions
"Perm marking pens, fine point, 12 pens per box."	"Office Equipment, Accessories and Supplies"	National Office Solutions
Chocolate Cookies	Food Beverage and Tobacco Products	Prison Industry Authority
Drinking water for going fire	Food Beverage and Tobacco Products	BLAGGS FOOD SERVICE INC
EXECUTIVE CENTER DESK	Furniture and Furnishings	Prison Industry Authority
Anniversary Clock and Man's Medallion Watch	"Sports, Recreational Equipment and Supplies and Accessories"	Frank T. Marchello
ink cartridge laserjet	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"EXECUTIVE CENTER DESK, RIGHT HAND RETURN"	Furniture and Furnishings	Prison Industry Authority
"METRO CAMPUS BED, SINGLE OAK FINISH"	Furniture and Furnishings	Prison Industry Authority
Peanut Butter Crackers	Food Beverage and Tobacco Products	ABC Ventures LLC
TO PROVIDE LOGISTICAL SUPPORT FOR THE MILL FIRE	"Sports, Recreational Equipment and Supplies and Accessories"	Emergency Water Supply
Lunches for going fire	Food Beverage and Tobacco Products	BLAGGS FOOD SERVICE INC
"RIBBON, Narrow 6/case"	"Office Equipment, Accessories and Supplies"	AUTOMED TECHNOLOGIES INC
"Tents used to house firefighters on ""going fire"""	"Sports, Recreational Equipment and Supplies and Accessories"	Emergency Water Supply
"Mayonnaise / Ind. Serving, 500/cs"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Week #8/ 1st Qtr fresh produce order	Food Beverage and Tobacco Products	"Superior Produce, Inc."
6 x 9-1/2 brown kraft envelopes	"Office Equipment, Accessories and Supplies"	BURKS Printing
#BDY562032 Suggestion Box (Kerry)	"Office Equipment, Accessories and Supplies"	National Office Solutions
#BDY5621 Suggestion Cards (kerry)	"Office Equipment, Accessories and Supplies"	National Office Solutions
TO SUPPLY SHELTER FOR FIRE SUPPRESSION PERSONNEL	"Sports, Recreational Equipment and Supplies and Accessories"	Intents Emergency Response
"beef halal, chicken halal"	Food Beverage and Tobacco Products	US FOODSERVICE
three bean salad	Food Beverage and Tobacco Products	ABC Ventures LLC
Swingline Portable Electric Stapler	"Office Equipment, Accessories and Supplies"	National Office Solutions
"Beans, pinto, red, cal dry, small dry white"	Food Beverage and Tobacco Products	INTERSECT USA
vanilla flavoring	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
Toner Cartridge HP Cyan	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Toner Cartridge HP Black	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Two Drawer Dresser for Student Dormitory Rooms	Furniture and Furnishings	Prison Industry Authority
Boston Chairs  (3) 680000.1000 see attached	Furniture and Furnishings	Prison Industry Authority
orange juice 4oz cnt 105 cnt/per cs	Food Beverage and Tobacco Products	Prison Industry Authority
Snack Mix Various (Oriental/ Sesame cajun sticks)	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
"Pressboard end tab folders, 10/Bx"	"Office Equipment, Accessories and Supplies"	National Office Solutions
"Bulletin Board, with lockable doors. Two doors."	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"SNACK MIX, ORIENTAL"	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
Decaffeinated Coffee	Food Beverage and Tobacco Products	Prison Industry Authority
Subsistence for firefighters on Going Fire	Food Beverage and Tobacco Products	COSTCO WHOLESALE #658
"Cottage Cheese, 1% Lowfat"	Food Beverage and Tobacco Products	FOSTER FARMS DAIRY
service equipment package	Furniture and Furnishings	FSX Equipment
"Individual Yogurt, Assorted Flavors"	Food Beverage and Tobacco Products	FOSTER FARMS DAIRY
"Bulk Yogurt, Assorted Flavors"	Food Beverage and Tobacco Products	FOSTER FARMS DAIRY
fresh and processed produce	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
"wheat, rolled, quick cooking"	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
Data Security Kit (hard drive data encryption)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Self Adhesive Fastener	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"beef crumbles, fully cooked"	Food Beverage and Tobacco Products	"RBG Foods, LLC"
Avalon Ergo Chair	Furniture and Furnishings	Prison Industry Authority
Sack Lunches for Fire Fighters	Food Beverage and Tobacco Products	MILITARY & SHIP SUPPLY HOUSE
wheat bread sliced loaf	Food Beverage and Tobacco Products	Prison Industry Authority
four-pack sliced wheat bread	Food Beverage and Tobacco Products	Prison Industry Authority
